SampleRate_Before,SampleRate_After,SamplesPerSymbol,CarrierFrequency,BitRate,MessageLength,Message,MessageBits
,,,,,,,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291170.81,291193.72,2912,2000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
,,,,,,,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291112.34,291048.78,2911,2000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
,,,,,,,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291273.44,291346.44,2913,2000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291367.66,291386.31,2914,4000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291534.16,291518.84,2915,6000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291395.66,291353.22,2914,8000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291329.44,291225.09,1457,2000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291248.0,291223.41,1456,4000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291218.31,291220.0,1456,6000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291299.75,291315.03,1456,8000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291230.19,291157.25,971,2000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
290926.88,291019.16,970,4000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
290739.09,290785.59,969,6000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
290977.66,290933.62,970,8000,300,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291104.72,291046.25,728,2000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
290889.62,290893.84,727,4000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291052.19,291164.06,728,6000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291125.91,291143.72,728,8000,400,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291117.41,291158.12,582,2000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291086.91,291149.62,582,4000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291160.66,291147.09,582,6000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291171.69,291239.5,582,8000,500,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
,,,,,,,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291259.88,291292.97,2913,2000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291433.88,291378.69,2914,4000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291225.09,291225.09,2912,6000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291255.62,291227.62,2913,8000,100,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
291193.72,291197.97,1456,2000,200,101,Hello there,01001000011001010110110001101100011011110010000001110100011010000110010101110010011001011111100110101
