ID;Bitrate;Carrier Frequency;Original Message;Decoded Message;Hamming Distance;Barker Code;;Avg. Hamming for Barker-7;Avg. Hamming for Barker-13
0;400;6000;Hello_there;e;;Barker-7;;2,814814815;2,323529412
1;400;6000;Hello_there;He|lo_there;1;Barker-7;;Hamming possible[%];Hamming possible[%]
2;400;6000;Hello_there;He|lo_there;1;Barker-7;;54;68
3;400;6000;Hello_there;H5~>?_t(uru;12;Barker-7;;;
4;400;6000;Hello_there;H3>>?Ot832u;21;Barker-7;;;
5;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
6;400;6000;Hello_there;Hd||_txdre;;Barker-7;;;
7;400;6000;Hello_there;Hello_there;0;Barker-7;;;
8;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
9;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
10;400;6000;Hello_there;He||o_txere;3;Barker-7;;;
11;400;6000;Hello_there;Hello_there;0;Barker-7;;;
12;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
13;400;6000;Hello_there;e;;Barker-7;;;
14;400;6000;Hello_there;?;;Barker-7;;;
15;400;6000;Hello_there;Hun>?_t8uru;11;Barker-7;;;
16;400;6000;Hello_there;d||~pff;;Barker-7;;;
17;400;6000;Hello_there;He||_txere;;Barker-7;;;
18;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
19;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
20;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
21;400;6000;Hello_there;Hd||_txdre;;Barker-7;;;
22;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
23;400;6000;Hello_there;He||_txere;;Barker-7;;;
24;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
25;400;6000;Hello_there;?;;Barker-7;;;
26;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
27;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
28;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
29;400;6000;Hello_there;;;Barker-7;;;
30;400;6000;Hello_there;He||_txdr;;Barker-7;;;
31;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
32;400;6000;Hello_there;Hd|||xdr;;Barker-7;;;
33;400;6000;Hello_there;f||~pff;;Barker-7;;;
34;400;6000;Hello_there;;;Barker-7;;;
35;400;6000;Hello_there;He||_txere;;Barker-7;;;
36;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
37;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
38;400;6000;Hello_there;Hello_there;0;Barker-7;;;
39;400;6000;Hello_there;e;;Barker-7;;;
40;400;6000;Hello_there;wn|~pj;;Barker-7;;;
41;400;6000;Hello_there;He||_txere;;Barker-7;;;
42;400;6000;Hello_there;He||_txere;;Barker-7;;;
43;400;6000;Hello_there;Hello_there;0;Barker-7;;;
44;400;6000;Hello_there;Hu~>?_t(uru;11;Barker-7;;;
45;400;6000;Hello_there;He|lo_there;1;Barker-7;;;
46;400;6000;Hello_there;He||_txere;;Barker-7;;;
47;400;6000;Hello_there;He||_txere;;Barker-7;;;
48;400;6000;Hello_there;e;;Barker-7;;;
49;400;6000;Hello_there;wf||~pf;;Barker-7;;;
0;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
1;400;6000;Hello_there;Xd|||xdr;;Barker-13;;;
2;400;6000;Hello_there;Hello_there;0;Barker-13;;;
3;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
4;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
5;400;6000;Hello_there;Hello_there;0;Barker-13;;;
6;400;6000;Hello_there;Xd||_txdre;;Barker-13;;;
7;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
8;400;6000;Hello_there;Hello_there;0;Barker-13;;;
9;400;6000;Hello_there;Hen./_t8uru;8;Barker-13;;;
10;400;6000;Hello_there;H5~>?_t8urwA;;Barker-13;;;
11;400;6000;Hello_there;Hello_there;0;Barker-13;;;
12;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
13;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
14;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
15;400;6000;Hello_there;Hello_there;0;Barker-13;;;
16;400;6000;Hello_there;H5~>?_t(uru;12;Barker-13;;;
17;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
18;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
19;400;6000;Hello_there;5~>?_t81ruA;39;Barker-13;;;
20;400;6000;Hello_there;Xd||_txdre;;Barker-13;;;
21;400;6000;Hello_there;Hello_there;0;Barker-13;;;
22;400;6000;Hello_there;d||_txdre;;Barker-13;;;
23;400;6000;Hello_there;He||_txere;;Barker-13;;;
24;400;6000;Hello_there;Hello_there;0;Barker-13;;;
25;400;6000;Hello_there;Hello_there;0;Barker-13;;;
26;400;6000;Hello_there;He||_txere;;Barker-13;;;
27;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
28;400;6000;Hello_there;G;;Barker-13;;;
29;400;6000;Hello_there;He||_txere;;Barker-13;;;
30;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
31;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
32;400;6000;Hello_there;He||_txere;;Barker-13;;;
33;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
34;400;6000;Hello_there;H7~>?_t832sA;;Barker-13;;;
35;400;6000;Hello_there;He||_txere;;Barker-13;;;
36;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
37;400;6000;Hello_there;Xd||_txdre;;Barker-13;;;
38;400;6000;Hello_there;1>>?_t852u;;Barker-13;;;
39;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
40;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
41;400;6000;Hello_there;He||_txere;;Barker-13;;;
42;400;6000;Hello_there;Hello_there;0;Barker-13;;;
43;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
44;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
45;400;6000;Hello_there;No preamble found;1;Barker-13;;;
46;400;6000;Hello_there;9p ;;Barker-13;;;
47;400;6000;Hello_there;He|lo_there;1;Barker-13;;;
48;400;6000;Hello_there;Hello_there;0;Barker-13;;;
49;400;6000;Hello_there;No preamble found;0;Barker-13;;;
