ID,Bitrate,Carrier Frequency,Original Message,Decoded Message,Hamming Distance,Hamming Encoding
0,400,6000,Hello_there,He||_xere,,False
1,400,6000,Hello_there,Hello_there,0,False
2,400,6000,Hello_there,Hello_there,0,False
3,400,6000,Hello_there,Hello_there,0,False
4,400,6000,Hello_there,H7~>?_|x7{w,19,False
5,400,6000,Hello_there,Hel|_txere,,False
6,400,6000,Hello_there,Hello_there,0,False
7,400,6000,Hello_there,Hello_there,0,False
8,400,6000,Hello_there,6~>?86{wa,,False
9,400,6000,Hello_there,\~,,False
10,400,6000,Hello_there,Hello_there,0,False
11,400,6000,Hello_there,Hello_there,0,False
12,400,6000,Hello_there,Hello_there,0,False
13,400,6000,Hello_there,Hello_there,0,False
14,400,6000,Hello_there,Hello_there,0,False
15,400,6000,Hello_there,Hello_there,0,False
16,400,6000,Hello_there,Hello_there,0,False
17,400,6000,Hello_there,Hello_txeze,2,False
18,400,6000,Hello_there,Hul>?_txuzu,10,False
19,400,6000,Hello_there,Hello_|here,1,False
20,400,6000,Hello_there,\~,,False
21,400,6000,Hello_there,Hello_|here,1,False
22,400,6000,Hello_there,\~,,False
23,400,6000,Hello_there,Hello_there,0,False
24,400,6000,Hello_there,Hello_there,0,False
25,400,6000,Hello_there,Hello_|here,1,False
26,400,6000,Hello_there,Hen>_|xeze,,False
27,400,6000,Hello_there,Hello_there,0,False
28,400,6000,Hello_there,Hello_there,0,False
29,400,6000,Hello_there,Hello_there,0,False
0,400,6000,Hello_there,Xlm,,True
1,400,6000,Hello_there,Xlm|xee,,True
2,400,6000,Hello_there,Hello_thee,,True
3,400,6000,Hello_there,OL,,True
4,400,6000,Hello_there,Hello_thee,,True
5,400,6000,Hello_there,X[,,True
6,400,6000,Hello_there,Hello_thee,,True
7,400,6000,Hello_there,Hello_thee,,True
8,400,6000,Hello_there,Hello_there,0,True
9,400,6000,Hello_there,Hello_thee,,True
10,400,6000,Hello_there,/\.,,True
11,400,6000,Hello_there,X[,,True
12,400,6000,Hello_there,Hello_there,0,True
13,400,6000,Hello_there,Hello_thee,,True
14,400,6000,Hello_there,lm,,True
15,400,6000,Hello_there,Helltxere,,True
16,400,6000,Hello_there,X[,,True
17,400,6000,Hello_there,Hellotherelr>6,,True
18,400,6000,Hello_there,Hello_there,0,True
19,400,6000,Hello_there,Hello_there,0,True
20,400,6000,Hello_there,Hello_thee,,True
21,400,6000,Hello_there,Hello_there,0,True
22,400,6000,Hello_there,Hullo_there,1,True
23,400,6000,Hello_there,Hello_there,0,True
24,400,6000,Hello_there,Hello_there,0,True
25,400,6000,Hello_there,lu>>t|qq,,True
26,400,6000,Hello_there,Hello_there,0,True
27,400,6000,Hello_there,Hello_thee,,True
28,400,6000,Hello_there,lm,,True
29,400,6000,Hello_there,Hello_thee,,True
