Bitrate,Encoding,BER_No_BP,BER_With_BP,Total_Transmissions,Valid_Transmissions_No_BP,Valid_Transmissions_BP,Total_Errors_No_BP,Total_Errors_BP,Total_Bits_No_BP,Total_Bits_BP
100,No Encoding,5.565862708719852,1.1827458256029684,50,49,49,240.0,51.0,4312,4312
100,Hamming Encoding,1.0151515151515151,0.0,50,50,50,67.0,0.0,6600,6600
200,No Encoding,2.6136363636363633,6.659090909090909,50,50,50,115.0,293.0,4400,4400
200,Hamming Encoding,2.0303030303030303,5.53030303030303,50,50,50,134.0,365.0,6600,6600
300,No Encoding,2.6437847866419295,13.91465677179963,50,49,49,114.0,600.0,4312,4312
300,Hamming Encoding,4.196969696969697,9.045454545454545,50,50,50,277.0,597.0,6600,6600
400,No Encoding,9.280303030303031,7.670454545454546,50,48,48,392.0,324.0,4224,4224
400,Hamming Encoding,11.814958091553835,8.47840103159252,50,47,47,733.0,526.0,6204,6204
500,No Encoding,19.84090909090909,17.977272727272727,50,50,50,873.0,791.0,4400,4400
500,Hamming Encoding,21.486137975499677,12.395228884590587,50,47,47,1333.0,769.0,6204,6204
600,No Encoding,34.58806818181818,37.42897727272727,50,48,48,1461.0,1581.0,4224,4224
600,Hamming Encoding,24.343434343434346,24.191919191919194,50,45,45,1446.0,1437.0,5940,5940
