Distance_cm,Bitrate,Total_Bits,No_BP_Errors,BP_Errors,BER_No_BP,BER_With_BP
40,100,4400.0,176.0,403.0,4.0,9.16
40,200,4400.0,2.0,239.0,0.05,5.43
40,300,4400.0,97.0,205.0,2.2,4.66
70,100,4400.0,1.0,224.0,0.02,5.09
70,200,4400.0,207.0,399.0,4.7,9.07
70,300,4400.0,338.0,486.0,7.68,11.05
100,100,4400.0,173.0,387.0,3.93,8.8
100,200,4400.0,714.0,314.0,16.23,7.14
100,300,4400.0,315.0,1031.0,7.16,23.43
150,100,4400.0,25.0,231.0,0.57,5.25
150,200,4400.0,312.0,561.0,7.09,12.75
150,300,4400.0,544.0,1262.0,12.36,28.68
200,100,4400.0,2199.0,2424.0,49.98,55.09
200,200,4400.0,1974.0,2041.0,44.86,46.39
200,300,4400.0,2038.0,2091.0,46.32,47.52
300,100,4488.0,2098.0,2635.0,46.75,58.71
300,200,4400.0,2174.0,2056.0,49.41,46.73
300,300,4400.0,2207.0,2345.0,50.16,53.3
400,100,4400.0,519.0,510.0,11.8,11.59
400,200,4400.0,1043.0,866.0,23.7,19.68
400,300,4400.0,2148.0,2454.0,48.82,55.77
500,100,4400.0,436.0,734.0,9.91,16.68
500,200,4400.0,2169.0,1733.0,49.3,39.39
500,300,4400.0,2520.0,2547.0,57.27,57.89
600,100,4400.0,1034.0,1046.0,23.5,23.77
600,200,4400.0,2288.0,2745.0,52.0,62.39
600,300,4400.0,1268.0,1163.0,28.82,26.43
