Distance_cm,Bitrate,Total_Transmissions,Incomplete_No_BP,Incomplete_BP,Valid_Transmissions_No_BP,Valid_Transmissions_BP,Total_Errors_No_BP,Total_Errors_BP,Total_Bits_No_BP,Total_Bits_BP,BER_No_BP,BER_With_BP
40,100,50,0,0,50,50,158.0,332.0,4400,4400,3.5909090909090913,7.545454545454546
40,200,50,0,0,50,50,61.0,154.0,4400,4400,1.3863636363636365,3.5000000000000004
40,300,50,5,1,45,49,200.0,236.0,3960,4312,5.05050505050505,5.4730983302411875
70,100,50,4,0,46,50,470.0,894.0,4048,4400,11.610671936758893,20.31818181818182
70,200,50,4,0,46,50,523.0,549.0,4048,4400,12.9199604743083,12.477272727272727
70,300,50,1,2,49,48,1619.0,1217.0,4312,4224,37.54638218923933,28.811553030303028
100,100,50,4,3,46,47,1814.0,2303.0,4048,4136,44.81225296442688,55.68181818181818
100,200,50,6,2,44,48,1542.0,1885.0,3872,4224,39.824380165289256,44.62594696969697
100,300,50,9,5,41,45,1368.0,1891.0,3608,3960,37.91574279379157,47.75252525252525
150,100,50,2,0,48,50,2115.0,1410.0,4224,4400,50.07102272727273,32.04545454545455
150,200,50,11,0,39,50,1747.0,1587.0,3432,4400,50.9032634032634,36.06818181818181
150,300,50,16,0,34,50,1382.0,1693.0,2992,4400,46.18983957219251,38.47727272727273
200,100,50,9,3,41,47,955.0,937.0,3608,4136,26.4689578713969,22.65473887814313
200,200,50,28,4,22,46,1030.0,1989.0,1936,4048,53.20247933884298,49.13537549407115
200,300,50,10,4,40,46,1730.0,1719.0,3520,4048,49.14772727272727,42.46541501976285
300,100,50,8,1,42,49,1641.0,2033.0,3696,4312,44.39935064935065,47.147495361781075
300,200,50,22,14,28,36,1153.0,1403.0,2464,3168,46.79383116883117,44.28661616161616
300,300,50,32,6,18,44,795.0,1931.0,1584,3872,50.189393939393945,49.87086776859504
400,100,50,11,4,39,46,650.0,885.0,3432,4048,18.939393939393938,21.86264822134387
400,200,50,9,8,41,42,1657.0,1589.0,3608,3696,45.92572062084257,42.99242424242424
400,300,50,16,4,34,46,1471.0,1924.0,2992,4048,49.1644385026738,47.5296442687747
500,100,50,2,1,48,49,966.0,783.0,4224,4312,22.869318181818183,18.158627087198514
500,200,50,5,0,45,50,1053.0,1727.0,3960,4400,26.590909090909093,39.25
500,300,50,15,2,35,48,1152.0,1576.0,3080,4224,37.4025974025974,37.31060606060606
600,100,50,11,3,39,47,1853.0,2387.0,3432,4136,53.9918414918415,57.71276595744681
600,200,50,13,13,37,37,1683.0,1564.0,3256,3256,51.689189189189186,48.03439803439804
600,300,50,24,12,26,38,1214.0,1648.0,2288,3344,53.05944055944056,49.282296650717704
