ID,Bitrate,Carrier Frequency,Original Message,Decoded without bandpass,Hamming Dist without bandpass,Decoded with bandpass,Hamming Dist with bandpass
0,400,6000,Hello_there,v =,35,"an./O,axu",16
1,400,6000,Hello_there,Hello_t(aza,4,Hello_theze,1
2,400,6000,Hello_there,"@al,o_t(axa",8,Hello_vheze,2
3,400,6000,Hello_there,Hello_there,0,Hello_thare,1
4,400,6000,Hello_there,"Hal,o_t(aza",6,Hello_theze,1
5,400,6000,Hello_there,H`pabbz,37,Hallo_thara,3
6,400,6000,Hello_there,Hello_thare,1,Hello_there,0
7,400,6000,Hello_there,Hallo_t(aza,5,Hello_theze,1
8,400,6000,Hello_there,"@al,o_t(axa",8,Hello_vhaze,3
9,400,6000,Hello_there,H`llo_th`ra,5,Hallo_thara,3
10,400,6000,Hello_there,H`llo_th`ra,5,Hallo_thara,3
11,400,6000,Hello_there,(axaacz,36,Hello_vheze,2
12,400,6000,Hello_there,,41,,39
13,400,6000,Hello_there,"P@A""",42,XpBb,39
14,400,6000,Hello_there,Hpabbp,35,$,40
15,400,6000,Hello_there,H`pabbp,34,H`pabbz,35
16,400,6000,Hello_there,Hello_thare,1,Hello_there,0
17,400,6000,Hello_there,Hello_there,0,Hello_thare,1
18,400,6000,Hello_there,H`pabbp,33,H`rabbz,38
19,400,6000,Hello_there,Hello_there,0,Hello_thare,1
20,400,6000,Hello_there,H`pabbz,37,@ A,45
21,400,6000,Hello_there,@`llo_th`ra,6,Hallo_thara,3
22,400,6000,Hello_there,-,42,,43
23,400,6000,Hello_there,H`pabbr,36,!,49
24,400,6000,Hello_there,Hello_there,0,Hello_thare,1
25,400,6000,Hello_there,Hello_there,0,Hello_thare,1
26,400,6000,Hello_there,"@al,o_t(axa",8,Hello_vheze,2
27,400,6000,Hello_there,Hello_thare,1,Hello_there,0
28,400,6000,Hello_there,H`rabbz,38,Hallo_thara,3
29,400,6000,Hello_there,@`lLo_th`ra,7,Hallo_thara,3
30,400,6000,Hello_there,H`llo_th`ra,5,Hallo_thara,3
31,400,6000,Hello_there,@`llo_th`ra,6,Hallo_thara,3
32,400,6000,Hello_there,Hallo_t(aza,5,Hello_theze,1
33,400,6000,Hello_there,Hello_thaza,3,Hello_theze,1
34,400,6000,Hello_there,(axaaaz,37,,47
35,400,6000,Hello_there,Hello_there,0,Hello_there,0
36,400,6000,Hello_there,Hello_thara,2,Hello_thara,2
37,400,6000,Hello_there,Hello_thara,2,Hallo_thara,3
38,400,6000,Hello_there,Hello_there,0,Hello_there,0
39,400,6000,Hello_there,H`pabbp,33,!,49
40,400,6000,Hello_there,H`llo_th`ra,5,Hallo_thara,3
41,400,6000,Hello_there,Hello_there,0,Hello_thare,1
42,400,6000,Hello_there,Hello_there,0,Hello_there,0
43,400,6000,Hello_there,-,44,(ezeC+aqz,33
44,400,6000,Hello_there,Hello_there,0,Hello_thare,1
45,400,6000,Hello_there,Hello_thara,2,Hello_thara,2
46,400,6000,Hello_there,H`llo_th`ra,5,Hallo_thara,3
47,400,6000,Hello_there,H`llo_th`ra,5,Hallo_thara,3
48,400,6000,Hello_there,@al oJa`a,18,"Hen,/_v,exe",8
49,400,6000,Hello_there,"@al,o_t(axa",8,Hello_vheze,2
