ID,Bitrate,Carrier Frequency,Original Message,Decoded without bandpass,Hamming Dist without bandpass,Decoded with bandpass,Hamming Dist with bandpass
0,400,6000,Hello_there,Hello_there,0,Hello_thebe,1
1,400,6000,Hello_there,ello_thdre,2,"He,lo_the2e",2
2,400,6000,Hello_there,Hello_there,0,Hello_there,0
3,400,6000,Hello_there,Hello_there,0,Hello_there,0
4,400,6000,Hello_there,Hello_there,0,Hello_there,0
5,400,6000,Hello_there,Hello_there,0,Hello_there,0
6,400,6000,Hello_there, $'0   ,27, $$'0  3 ,25
7,400,6000,Hello_there,HEHHN^dHEbE,13,HEHHN^dHEbE,13
8,400,6000,Hello_there,Hello_there,0,HElho_thebE,4
9,400,6000,Hello_there,Hello_there,0,Hello_there,0
10,400,6000,Hello_there,HEHHN^dHEbE,13,HEHHN^dHEbE,13
11,400,6000,Hello_there,Hello_there,0,Hello_there,0
12,400,6000,Hello_there,HEHHN^dHEbE,13,HEHHN^dHEbE,13
13,400,6000,Hello_there,d$dg0`d2`,15, $dg0 `2`,19
14,400,6000,Hello_there,`$dg0``2`,17, $dg0 `2`,19
15,400,6000,Hello_there,Hello_there,0,Hello_there,0
16,400,6000,Hello_there,  @,37,  ,38
17,400,6000,Hello_there,Hello_there,0,Hello_there,0
18,400,6000,Hello_there,Hello_there,0,Hello_there,0
19,400,6000,Hello_there,Hello_there,0,Hello_there,0
20,400,6000,Hello_there,Hello_there,0,Hello_there,0
21,400,6000,Hello_there,"$ $'0  """,31,$ $$'0   ,29
22,400,6000,Hello_there,HEHHN^dHEbE,13,HEHHN^dHEbE,13
23,400,6000,Hello_there,Hello_there,0,Hello_there,0
24,400,6000,Hello_there,,,,52
25,400,6000,Hello_there,Hello_there,0,Hello_there,0
26,400,6000,Hello_there,Hello_there,0,Hello_there,0
27,400,6000,Hello_there,Hello_there,0,Hello_there,0
28,400,6000,Hello_there,Hello_there,0,Hello_there,0
29,400,6000,Hello_there,HeHhn^thebe,6,HEHHN^dHEbE,13
30,400,6000,Hello_there,Hello_there,0,Hello_there,0
31,400,6000,Hello_there,HeHhn^thebe,6,HEHhn^dhEbE,10
