ID;Bitrate;Carrier Frequency;Original Message;Decoded Message
0;200;1500;AAA;No preamble found
1;200;1550;AAA;No preamble found
2;200;1600;AAA;No preamble found
3;200;1650;AAA;No preamble found
4;200;1700;AAA;No preamble found
5;200;1750;AAA;No preamble found
6;200;1800;AAA;No preamble found
7;200;1850;AAA;No preamble found
8;200;1900;AAA;No preamble found
9;200;1950;AAA;No preamble found
10;200;2000;AAA;No preamble found
11;200;2050;AAA;No preamble found
12;200;2100;AAA;No preamble found
13;200;2150;AAA;No preamble found
14;200;2200;AAA;No preamble found
15;200;2250;AAA;No preamble found
16;200;2300;AAA;No preamble found
17;200;2350;AAA;No preamble found
18;200;2400;AAA;No preamble found
19;200;2450;AAA;No preamble found
20;200;2500;AAA;No preamble found
21;200;2550;AAA;No preamble found
22;200;2600;AAA;No preamble found
23;200;2650;AAA;No preamble found
24;200;2700;AAA;No preamble found
25;200;2750;AAA;No preamble found
26;200;2800;AAA;No preamble found
27;200;2850;AAA;No preamble found
28;200;2900;AAA;No preamble found
29;200;2950;AAA;No preamble found
30;200;3000;AAA;No preamble found
31;200;3050;AAA;No preamble found
32;200;3100;AAA;No preamble found
33;200;3150;AAA;No preamble found
34;200;3200;AAA;No preamble found
35;200;3250;AAA;No preamble found
36;200;3300;AAA;No preamble found
37;200;3350;AAA;No preamble found
38;200;3400;AAA;No preamble found
39;200;3450;AAA;No preamble found
40;200;3500;AAA;No preamble found
41;200;3550;AAA;No preamble found
42;200;3600;AAA;No preamble found
43;200;3650;AAA;No preamble found
44;200;3700;AAA;No preamble found
45;200;3750;AAA;No preamble found
46;200;3800;AAA;No preamble found
47;200;3850;AAA;No preamble found
48;200;3900;AAA;No preamble found
49;200;3950;AAA;No preamble found
50;200;4000;AAA;No preamble found
51;200;4050;AAA;No preamble found
52;200;4100;AAA;No preamble found
53;200;4150;AAA;No preamble found
54;200;4200;AAA;No preamble found
55;200;4250;AAA;No preamble found
56;200;4300;AAA;No preamble found
57;200;4350;AAA;No preamble found
58;200;4400;AAA;No preamble found
59;200;4450;AAA;No preamble found
60;200;4500;AAA;No preamble found
61;200;4550;AAA;No preamble found
62;200;4600;AAA;No preamble found
63;200;4650;AAA;No preamble found
64;200;4700;AAA;No preamble found
65;200;4750;AAA;No preamble found
66;200;4800;AAA;No preamble found
67;200;4850;AAA;No preamble found
68;200;4900;AAA;No preamble found
69;200;4950;AAA;No preamble found
70;200;5000;AAA;No preamble found
71;200;5050;AAA;No preamble found
72;200;5100;AAA;No preamble found
73;200;5150;AAA;No preamble found
74;200;5200;AAA;A@
75;200;5250;AAA;AAA
76;200;5300;AAA;No preamble found
77;200;5350;AAA;AAA
78;200;5400;AAA;AAA
79;200;5450;AAA;No preamble found
80;200;5500;AAA;AAA
81;200;5550;AAA;AAA
82;200;5600;AAA;AAA
83;200;5650;AAA;AAA
84;200;5700;AAA;AAA
85;200;5750;AAA;AAA
86;200;5800;AAA;AAA
87;200;5850;AAA;AAA
88;200;5900;AAA;AAA
89;200;5950;AAA;No preamble found
0;200;6000;AAA;AAA
1;200;6050;AAA;AAA
2;200;6100;AAA;AAA
3;200;6150;AAA;AAA
4;200;6200;AAA;AAA
5;200;6250;AAA;AAA
6;200;6300;AAA;AAA
7;200;6350;AAA;AAA
8;200;6400;AAA;AAA
9;200;6450;AAA;AAA
10;200;6500;AAA;AAA
11;200;6550;AAA;No preamble found
12;200;6600;AAA;AA@
13;200;6650;AAA;@
14;200;6700;AAA;No preamble found
15;200;6750;AAA;AAA
16;200;6800;AAA;No preamble found
17;200;6850;AAA;No preamble found
18;200;6900;AAA;AAA
19;200;6950;AAA;AAA
20;200;7000;AAA;AAA
21;200;7050;AAA;AAA
22;200;7100;AAA;AAA
23;200;7150;AAA;A@
24;200;7200;AAA;AAA
25;200;7250;AAA;AAA
26;200;7300;AAA;No preamble found
27;200;7350;AAA;A@
28;200;7400;AAA;AAA
29;200;7450;AAA;AAA
30;200;7500;AAA;No preamble found
31;200;7550;AAA;No preamble found
32;200;7600;AAA;AAA
33;200;7650;AAA;No preamble found
34;200;7700;AAA;AAA
35;200;7750;AAA;AAA
36;200;7800;AAA;AAA
0;200;7900;AAA;AAA
1;200;7950;AAA;AAA
2;200;8000;AAA;No preamble found
3;200;8050;AAA;No preamble found
4;200;8100;AAA;No preamble found
5;200;8150;AAA;No preamble found
6;200;8200;AAA;No preamble found
7;200;8250;AAA;No preamble found
8;200;8300;AAA;No preamble found
9;200;8350;AAA;No preamble found
10;200;8400;AAA;AAA
11;200;8450;AAA;No preamble found
12;200;8500;AAA;AAA
13;200;8550;AAA;No preamble found
14;200;8600;AAA;No preamble found
15;200;8650;AAA;No preamble found
16;200;8700;AAA;AAA
17;200;8750;AAA;No preamble found
18;200;8800;AAA;No preamble found
19;200;8850;AAA;No preamble found
20;200;8900;AAA;AAA
21;200;8950;AAA;No preamble found
22;200;9000;AAA;No preamble found
23;200;9050;AAA;AAA
24;200;9100;AAA;No preamble found
25;200;9150;AAA;No preamble found
26;200;9200;AAA;No preamble found
27;200;9250;AAA;AAA
28;200;9300;AAA;No preamble found
29;200;9350;AAA;No preamble found
30;200;9400;AAA;No preamble found
31;200;9450;AAA;No preamble found
32;200;9500;AAA;No preamble found
33;200;9550;AAA;No preamble found
34;200;9600;AAA;AAA
35;200;9650;AAA;AAA
36;200;9700;AAA;No preamble found
37;200;9750;AAA;No preamble found
38;200;9800;AAA;No preamble found
39;200;9850;AAA;No preamble found
40;200;9900;AAA;No preamble found
41;200;9950;AAA;No preamble found
42;200;10000;AAA;AAA
43;200;10050;AAA;No preamble found
44;200;10100;AAA;AAA
45;200;10150;AAA;No preamble found
46;200;10200;AAA;AA@
