ID,Bitrate,Carrier Frequency,Original Message,Decoded Message
0,450,6000,the quick brown fox jumps over the lazy dog while vexd zebras fight for joy!,"thequco crow0fox0g;w30>4260<27;42;22=29034:377:9<y{||h^H[h~L~d<D$8.,mNMdFrOrRf_B^'&2fvBf""vvvvwf>q3s3so{/C)c#{9CKc-/!/;cc@@@@@B"
0,450,6000,the quick brown fox jumps over the lazy dog while vexd zebras fight for joy!,"the quck brown0fox ow{ o~#0~ts~p<27?42;22=29034:37561<q{||H^H[h~x~LL$8.,mdNMndF0?oNrr_B^'&2fvBf""tttvwFZ~63ws#so{/C)c#{9CKc-/!/3cc1;y???A@@@B"
0,200,6000,the quick brown fox jumps over the lazy dog while vexd zebras fight for joy!,the quick brown fox jumps over the lazy dog whilm xl`@@@B
0,200,6000,the quick brown fox jumps over the lazy dog while vexd zebras fight for joy!,the quick brown`o``@@@@@@@@@B
0,200,6000,the quick brown fox jumps over the lazy dog while vexd zebras fight for joy!,the quick brown fox jumps`ov```@@@@@@B
0,300,6000,the quick brown fox jumps over the lazy dog while vexd zebras fight for joy!,the quick brown fox jumps over the lazy dog while vexd zebras fight for joy!
0,300,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*","the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*"
0,300,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*","the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*"
0,300,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*",txe quysbrow~ wox zups wur thu nazy dw wxy|u wexd zerras fiwxt for joy! @#%^&()_+_{|;:..<>/?~`.>*
0,300,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*","tU rEg*8Dx8D(8JIEtKPqPjPBEPB *ZPP34:3757 (+91:Q0 Z@R@@@A."" % q '% xi@F`"
0,300,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*","the quiek@DCH8D(8A)*9M""PIsKPBEPB0v0n5P*+:3757 /`PNQ0 :"
0,300,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*","the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*"
0,300,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*","the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*"
0,300,6000,A,A
0,200,6000,A,A
0,200,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*",the qwmo0b{on fo w{{w70z4r60<27;42;22=29034:3757 0
0,200,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*",the quico brown fox ows vu vlrv0=27;42;22=29034:3757 0
0,250,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*","the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*"
0,200,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*",the quick brown fox jumps over the lazy dog while vexd {ebra fml~0go0ow`0
0,200,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*",the quick brown fox jumps over the lazy dog while vexd {ebra fmlv0fo{0ow`340
0,210,6000,"the quick brown fox jumps over the lazy dog while vexd zebras fight for joy! @#$%^&()_+[]{}|;:,.<>/?~`.>*",the quick brown fox jumps over the laz{`dg`hh@`@@@B@FHJLPRVvtX\x|^~\|T
